type,audio,cue1,cue2,opt1,opt2,answer,phase
cnfl,L60C1.wav,L60,C1,トー,ト,,pre
cnfl,L60C2.wav,L60,C2,トー,ト,,pre
cnfl,L60C3.wav,L60,C3,トー,ト,,pre
cnfl,L60C4.wav,L60,C4,トー,ト,,pre
cnfl,L60C5.wav,L60,C5,トー,ト,,pre
cnfl,L120C1.wav,L120,C1,トー,ト,,pre
cnfl,L120C2.wav,L120,C2,トー,ト,,pre
cnfl,L120C3.wav,L120,C3,トー,ト,,pre
cnfl,L120C4.wav,L120,C4,トー,ト,,pre
cnfl,L120C5.wav,L120,C5,トー,ト,,pre
cnfl,L180C1.wav,L180,C1,トー,ト,,pre
cnfl,L180C2.wav,L180,C2,トー,ト,,pre
cnfl,L180C3.wav,L180,C3,トー,ト,,pre
cnfl,L180C4.wav,L180,C4,トー,ト,,pre
cnfl,L180C5.wav,L180,C5,トー,ト,,pre
cnfl,L240C1.wav,L240,C1,トー,ト,,pre
cnfl,L240C2.wav,L240,C2,トー,ト,,pre
cnfl,L240C3.wav,L240,C3,トー,ト,,pre
cnfl,L240C4.wav,L240,C4,トー,ト,,pre
cnfl,L240C5.wav,L240,C5,トー,ト,,pre
cnfl,L240C1.wav,L240,C1,トー,ト,opt1,train
cnfl,L240C3.wav,L240,C3,トー,ト,opt1,train
cnfl,L120C1.wav,L120,C1,トー,ト,opt1,train
cnfl,L120C3.wav,L120,C3,トー,ト,opt2,train
cnfl,L60C1.wav,L60,C1,トー,ト,opt2,train
cnfl,L60C3.wav,L60,C3,トー,ト,opt2,train
cnfl,L60C1.wav,L60,C1,トー,ト,,post
cnfl,L60C2.wav,L60,C2,トー,ト,,post
cnfl,L60C3.wav,L60,C3,トー,ト,,post
cnfl,L60C4.wav,L60,C4,トー,ト,,post
cnfl,L60C5.wav,L60,C5,トー,ト,,post
cnfl,L120C1.wav,L120,C1,トー,ト,,post
cnfl,L120C2.wav,L120,C2,トー,ト,,post
cnfl,L120C3.wav,L120,C3,トー,ト,,post
cnfl,L120C4.wav,L120,C4,トー,ト,,post
cnfl,L120C5.wav,L120,C5,トー,ト,,post
cnfl,L180C1.wav,L180,C1,トー,ト,,post
cnfl,L180C2.wav,L180,C2,トー,ト,,post
cnfl,L180C3.wav,L180,C3,トー,ト,,post
cnfl,L180C4.wav,L180,C4,トー,ト,,post
cnfl,L180C5.wav,L180,C5,トー,ト,,post
cnfl,L240C1.wav,L240,C1,トー,ト,,post
cnfl,L240C2.wav,L240,C2,トー,ト,,post
cnfl,L240C3.wav,L240,C3,トー,ト,,post
cnfl,L240C4.wav,L240,C4,トー,ト,,post
cnfl,L240C5.wav,L240,C5,トー,ト,,post